id	title	abstract	labels
1805	魔法使之夜	三位主角分别是就读贵族女子学园的爱丽丝和读普通高中的青子和男主角，而其中是谁让青子有格斗技兴趣仍不明，附带一提这位男主角曾被任性的青子套上狗项圈带回去养。而苍崎橙子和青子姊妹间的恩怨也在故事中浮现。最后的魔术对决中橙子打输，还被青子和有珠下了无法回三咲市的诅咒。	
1806	魔法学园MA	男主角羽濑川拓人表面上是个普通的高中生，其实是隐藏在现在社会下的魔法学院里的魔法师候补生，在某次召唤考试的时候，控制失误导致召唤出了一个足以破坏世界的强大兽耳少女，并从此被卷入各种混乱事件中去。	奇幻 校园 恋爱喜剧 
1807	少女，兵器，潘朵拉	高中生•富士山清贵，只是个眼神有点坏坏的平凡高中生……本来应该是这样的。但是，某天清贵在梦里（？）有了不可思议的体验之后，他每天的生活完全改变了。身穿风帽斗篷，幼女体型的同学•穗村春麻，命令清贵当他的仆人，协助她举行谜样盒子的开启仪式。虽然盒子成功开启了，里面却飞出了某种与清贵融合——自称「我是＜灾厄＞封印兵器潘多拉，请多多指教」的灾厄，这到底是怎么回事呢？校园魔法（？）转自SOSG论坛	搞笑 校园 魔法 
1808	欢乐黎明使者团！	暌违九十三个年头，米特兰达再次出现阴柔属性的女司令！哈尔瑟迪斯接获一道来自修道会总部的指令，要他率领「黎明使者团」，保护女司令席雅希妲，平安顺利地完成周游大陆之旅！不料由一般市民应招而成的众团员，个个既没使命感又无责任心，席雅希妲更是个食量异常惊人、言行古怪的美少女，他的理智顿时濒临崩溃边缘……！？	冒险 搞笑 
1809	薄樱鬼	故事发生在日本动乱的幕末时期，因父亲的神秘失踪而决定女扮男装前往京都探访的主角雪村千鹤，因缘际会之下加入了新选组，从此和新选组展开与黑暗的战斗。	冒险 爱情 格斗 历史 
1810	乱☆恋 我有16个未婚妻！？	「你能去会一会你的未婚妻们吗……共16个人！」「什，什么！」步入17岁那天，莉迪亚王国的王子·里卡尔德从父王那听到了一个惊天动地的事实：自己竟有16个未婚妻！「16个……我该怎么办啊！？」王子的叫喊声空洞无力。于是乎，王子踏上了巡游未婚妻的旅途。他最先到达的是卡尔维尔戈城。希尔提斯王国第六公主·瑟菲亚正居住于此。公主外表像个小孩，但举手投足充满了威严。但她有一个不可告人的让人忍俊不禁的秘密……有关一名流浪王子及其与他相恋的16位公主的喧嚣喜剧，由此展开！	爱情 搞笑 后宫 
1811	384403km 绑架你到月球	百合文不喜勿入！如果，把你绑架到了月球，那我——	
1812	Tales of Eternia 永恒传说	顺应命运，以顺其自然的态度生活的少年里德＆正义感强烈的行动派少女法菈。这两位主角所展开的大冒险故事，就在充满丰沛自然的和平世界「因菲利雅」揭开了序幕。当里德和法菈抬头仰望以天空为界、和「因菲利雅」遥遥相对的另一个世界「榭蕾斯迪雅」之际，一道急速坠下的闪光正朝着他们而来。那道闪光的真面目是？一一Tales系列经典，藉由小说化再次呈现于您的眼前！	冒险 奇幻 异界 
1813	主人和女仆大人	喜欢女仆的OTAKU高中生·五秋阵回到自己家，发现前面有一名身穿女仆装的金发美少女像个仁王一样立在那里——「我是女仆大人！！」这样说道的少女，是为了履行10年前的约定前来当五秋的女仆的。没有考虑太深的五秋非常的高兴，但是她完全不做任何家务，只是吃着喜欢的UMAI棒看着电视而已。而且是还会对五秋下命令，使出回旋踢的超胡来女仆！更是能使用只有真正的女仆才能使用的超能力『命努力（发音接近女仆、冥土力）』好像是这样……没错，她并不是普通的女仆，而是女仆「大人」！描写了不知为何立场逆转『主人』和『女仆大人』奇怪的生活，主从逆转的情绪高涨的爱情喜剧！	搞笑 爱情 
1814	指引之星	与很多进出银河的外星人邂逅的地球，为了帮助文明落后的宇宙航行种族设立了「外文明支援省」，并派出了「外文明观察官」来秘密协助他们。但是，年少的观察官.辻本司与三名美少女机器人意外发现且接触了「斯瓦利斯」，并I接触失败。不久后全银河都被卷入了动乱当中……备受期待的年轻SF作家描绘的HeartFull.最初接触系SF为您奉上	
1815	蔚蓝的萨利菲拉	幻之岛希茵，据说其因触怒海神而沉没海中，12年方才现身一次——青年萨利夫因为某种理由而寻求那块土地，并且在四下找船。然而他设法潜入的船，商船《花之少女》号，其船长却是个傲慢的男人，名叫瓦迪姆，他叫嚣那样的岛并不存在。但是，为什么海军要执拗地追赶萨利夫不放呢……。以碧海为舞台展开的冒险故事，登场！第4回C★NOVELS大奖特别奖授奖作	冒险 
1816	魔术士奥芬的无赖之旅	「你这混蛋要是再鬼扯，看我怎么用压路机碾死你！」在我熟睡正酣的时候，忽然响起了某个人的叫骂声。我的名字叫奥芬。本职工作是魔术士，同时还在做非法放贷的兼职。破口大骂的人是名叫博鲁坎的地人小鬼。这家伙明明借了我的钱，却丝毫没有还钱的意思。这个小鬼似乎说他找到了赚大钱的方法。虽然听上去不怎么可靠，但我暂且还是按他说的盛装打扮了一番，来到某家大财主的豪宅……就在那里，我遇到了那个家伙——由备受期待的新人作家所描绘，兼具爆笑与深刻的崭新幻想故事即将展开！	魔法 冒险 异界 
1817	金之瞳与铁之剑	龙与剑，以及令人炫目的魔法世界。为了得到「屠龙者」的称号，充满野心的战士·塔乌，与无欲无求的魔法师·琦亚开始了他们的旅程。结下男人之间深厚羁绊的两位冒险者，在开始不久的旅途中便遭遇到了——？！虚渊玄执笔，高河弓作画的华丽绘卷！幻想类轻小说的全新篇章就此展开！	冒险 魔法 异界 
1818	爱玩王子	从魔界来到人间的迷你小王子，遇上了少根筋的女高中生！两人居然莫名其妙有了婚约？想要解除婚约而一起回到魔界的两个人，却发现只有解开神秘咒语才能如愿！两人因此踏上冒险之途。看书里傲娇王子跟傻呼呼小妹的搞笑对话＋惊险刺激的魔龙之斗，偶尔还有高大挺拔的魔王爸爸＆冷酷带点俏皮的王室管家来插花，到底两个人的命运会如何呢？	冒险 奇幻 搞笑 异界 
1819	侦探·花咲太郎	我的名字是花咲太郎。是个侦探。在外遇调查都算是大事件的事务所工作，每天都从早到晚忙着寻找丢失的小狗。……尽管，迄今为止每个人都对我的工作赞誉有加，还用充满期待、闪烁着光辉的眼睛看着我。可我还是渴望用灵光一闪看破事态的名推理，作为事件最好的落幕吧。虽然很遗憾，但我的确是个萝莉控……呃。最喜欢的是瑟瑟发抖地偷窥住在旁边的的那令我令人心跳不已的美少女·桃姬。说发抖并非在说笑。在我们的眼前，为什么会出现真正的尸体……这太超过了我的期待。这就是「低调」的侦探故事。「推理没有捷径。」「期待你的表现哦，名侦探。」	
1820	花宵罗曼史	新老师珠美远赴名门『宝生』所创立的傅统名校月华学院就任。上任首日，宝生家的最高掌权者一一前任家主竟亲临会见，并突然要求她「和一族当中的某人结婚」。他表示珠美拥有解放宝生一族代代相承的诅咒『书缚』的能力，希望珠美能够拯救他们。资优生、散发危险气息的可爱学生、刚强中流露脆弱的学生、迷惑人心的老师舆理事们……他们究竟能否脱离悲哀的宿命——热门手机恋爱游戏，将在小说中与你相见！！	
1821	桐野无软妹	作为铁研部兼轻小说研究部(临时)部长的桐野康介感到为难。第1，从入学当初的言行邪气眼一般被对待，大体上被全校学生敬而远之的事。第2，言行充满妄想认为自己真的有49个异能力的事。第3，由于曾经预言般的影响，18岁之前扔不掉童贞的事。可是，虽然是想把这个想法变成玩笑去看，而是与铁道迷的青梅竹马远山沙由里，原摄影小组的森里麻耶，转校生与运动神经出众蕾娜·伊莉挪维娜·药袋一起在玩。　但是那样的状况根据人的不同也被嫉妒的东西。正在由于来自学生会长的指示，第1学期就被要求交活动成果的桐野，也有自己的工作的情况，全体成员决定到熊野去报告的采访。当然，约定的纠纷这个那个也有…。	爱情 搞笑 
1822	甜蜜全接触！	通过戳击存在于所有构造体上面的崩坏点将其破坏的「点穴术」。山里蹲到将此术完全领悟的御统一路为了更进一步的寻求点穴术的奥义，转学进入了鸣神学园。然而刚刚到达学院，一路就受到了女子战斗集团「男子根绝委员会」的袭击。在这场战斗中，某种冲击贯穿了他的全身。「这么柔软的到底是什么！？」那就是不谙世事的格斗少年初次接触到的女体的神秘！一路非常认真地又有点色色的脱线学院修行，就此展开！	校园 搞笑 后宫 
1823	Dragon Blood	天音栉秋良，16岁。除去纯白的头发和稍微凶恶的眼神的话，只是个普通的高中二年级生。今天也是认真的，与第一印象不好的同级生蓝さん一起逃课了。顺便说一下，这个街道发生了奇怪事件。尽管解决这个，被某个友人委托了的我，到夜里的繁华街道搜集情报。在那里遇到的是——。[人家，叫做坏世]带着猫耳型的帽子拿着大柴刀，谜之少女！在过去与魔神定下契约，操纵雷击的我为了夺回平凡的日常而战斗。血啊，咆哮吧——。第六回新人奖，带有异色作风的新进气锐作家初次登台！	冒险 奇幻 格斗 
1824	东方妖游记	降妖除魔，少年踏上冒险旅途！在妖魔横行的古代中国·殷朝。生性顽皮的少年·晄，与宠爱他的腹黑哥哥及具有厌男症的姐姐一同生活在黄河河畔。某日，晄巧遇了因领导有方而受人民景仰的英勇亲王·枫牙，以及长相妖冶的占术师·累焰。两人正在寻找导致黄河泛滥，荼害邑国人民的古妖·化蛇。好奇心旺盛又富有强烈正义感的晄，一听到国家陷入危机后就无法坐视不管！于是决定与他们一起寻找化蛇……！？中国风幻想奇谭第一集登场！	神鬼 
1825	HxH！泡澡澡是异文化的交流	少年龙特四处旅行，寻找对任何种族都能起效的灵药的材料。龙特到达古代遗迹。出现在他面前的，是名为苏菲的幼女，身为遗迹主人的吸血鬼！龙特得到苏菲许可，在亚人种聚居的村落逗留。但那里的人们都一起泡澡，不论男女不论种族……令人心跳加速的混浴奇幻爱情喜剧！	冒险 奇幻 搞笑 爱情 
1826	交响曲传奇 久远的光辉	自幼，少年洛伊德在矮人的照顾下顺利地长大成人。而他的朋友柯蕾特，身为拯救世界逐渐崩坏的「神子」，必须踏上再生之旅。而硬是与柯蕾特一同踏上旅行的洛伊德将会……！？超人气RPG『TalesofSymphonia』小说版堂堂登场！！在此将以全系列四集描写洛伊德的壮大冒险！！	
1827	打工吧！魔王大人	离征服世界只差一步的魔王撒旦，却被勇者打败而被迫漂流到了异世界的日本东京一个名叫笹塚的地方。对于这个魔王能在日本做的事情，「征服世界！」——当然那是不可能的。于是在车站附近开始了打工生活的魔王大人，为了赚取生活费过起了飞特族的生活！就在那个时候，同时穿越了时空来到日本的勇者大人艾米莉娅，也以接线员的身份开始了同日本经济斗争的日子。这两的两人如果再次在东京相遇的话——？！在六帖榻榻米大小的假想魔王城之中，魔王大人挥汗如雨辛勤劳动的平民故事就此展开。17回电击小说大奖（银奖）作品华丽登场。	搞笑 魔法 冒险 
1828	夜明前的琉璃色Moonlight Cradle	河蟹处理版！远山翠与妹妹麻衣同属管乐社，在达哉眼中是一位活泼开朗、态度乐观的同班女孩。在左门饮食馆的一场餐叙中，由于麻衣与菜月的撮合，两人的关系快速升温♪在得知翠的烦恼之后，达哉强烈希望能够尽力帮忙她……	爱情 
1829	爸爸十五岁	某天早上，鹤谷优奈像平常那样去叫父亲起床，却看见了一个不认识的赤裸少年。从此，苦难生活便揭晓了。天马不知道为什么会变成年轻，作为父亲的记忆也不在了，成为了七个女孩的父亲天马（15岁），另一方面，鹤谷的娘家也有一些秘密。父亲和女孩们的喜剧+爱情，开幕……	搞笑 爱情 
1830	推理要在晚餐后	「请恕我失礼，难不成大小姐您的眼睛是瞎了吗？」无论是多么悲惨的杀人事件，也要优雅地解开谜团(！？)刚任职于警视厅国立署的菜鸟刑警宝生丽子，其实是闻名全球、坐拥无数企业的「宝生集团」千金大小姐。工作时，丽子总是刻意隐瞒自己的身分──然而和她搭档调查案件的直属上司风祭警部，毫不掩饰自己是有钱人家的公子，实在是蠢到不行。这样一对大少爷与千金小姐的刑警搭档，调查命案现场时也毫不意外总是往错误方向推理，使得案情陷入胶着......就在丽子下班回家之后，一边吃着晚餐一边闲聊着今天发生的事件时，在她身旁服侍的管家影山，总会一针见血地道出破案的关键──千金刑警与毒舌管家一搭一唱的绝妙演出，幽默感十足的本格推理在此登场！	侦探 
1831	赤裸裸之战	「你身上有瘴气的味道喔。」夕阳西下的街道，一位女剑士主动向我攀谈，这令我焦躁起来。她该不会是火琉奈吧？我以前写过的小说女主角！？就如我所设定的是位爱慕我、犹如梦中情人般的美少女……等一下，怎么可能有这种事啦！！首先，那部小说已经变成我的梦魇了。经过某个震撼的事件后我不但放弃创作，也脱离了御宅族的身分，如今正过着平静无波的高中生活。因此，这意外的邂逅不但不足为喜，甚至还可能是个将我安稳的「现在」破坏殆尽的大危机！！	校园 搞笑 
1832	我的她是战争妖精	宫本伊织正面临危机。班上女同学牧岛皐月登门拜访，他却对楼上的状况在意得无以复加。好不容易送辠月离开之后，伊织前往二楼打开衣柜——里头是一名被五花大绑，宛如陶瓷娃娃般的美少女！「克莉丝是战争妖精。」就这样，伊织突然和克莉丝开始同居，还被卷入神秘的死斗……这名少女到底是什么身分！？两人将以奇妙的羁绊，踏上一段神秘的战争之旅！！	冒险 校园 奇幻 
1833	风水天戏	在宫庭当中，星淑是任谁也不会多看一眼的第八位皇子。遭受到异母皇兄的欺凌也是家常便饭，然而某天一位宫妃，娇杏出手救助了他。为了答谢对方，星淑决定学习当今十分流行的「风水」，以整顿她那极度脏乱的房间。将极致的开运术「风水」误以为是打扫房间秘诀的星淑，找到了一本奥义秘笈《风水天戏》以及一个破破烂烂的罗盘，还有从罗盘当中迸出来的迷你仙人，杨师父。最后星淑竟决定拜他为师……！？第8届Beans小说大赏，史上第一部「大赏」得奖作品堂堂登场！！	奇幻 
1834	断罪衣	只要一年就好，希望你能冒充死去的哥哥――。因为这样的请求，九濑谏也来到的御陵市，其实是为了与体现七宗大罪的〈兽（Bestia）〉战斗而存在的都市。随着地脉的特异点出现，吞食人类、蹂躏城市的〈兽〉。能与它们抗衡的，只有模仿神之奇迹的断罪衣和有着少女外形的第九祭器·诺温（novem）。「这个城市，会喜欢上你的」与这样诉说的诺温一起，作为哥哥的冒充者，在这个都市里与〈兽〉展开战斗……由三田诚讲述罪与罚交织而成的讽刺小说，就此开幕！	冒险 奇幻 格斗 
1835	GENEZ	「大牙谦吾去哪儿了？」「谁晓得啊~那家伙的话，今天大概又在哪里拯救世界吧？」海神学园乍看下只是一座普通学校，实际上却处在私营军事承包商「格里克斯」的管理之下。在那里就读特进班的游戏宅少年兵·谦吾与他的青梅竹马岩清水雪菜迎来了从威尔特海姆公国归来的妹妹·凉羽。然而，身为年轻公女弗兰西斯卡家庭教师的凉羽却不知道被谁给盯上了——装备着全身铠GENEZ战斗的士兵谦吾，遵从学园长的指示，开始担任公女和凉羽留日期间的护卫！？超弩级动作剧开幕！	冒险 格斗 
1836	心之国的爱丽丝	出现在庭院里打瞌睡的爱丽丝·里戴尔眼前的人是……有着兔耳朵的跟踪狂！？她硬是被带到了闹哄哄的心之国，喝下了奇怪的药。为了回到原来的世界，爱丽丝被迫得参加游戏。如果这是一场梦的话，真希望能赶快醒过来……爱丽丝虽然这么想，但其实在不知不觉中，每天都跟心之城骑士艾斯一同度日。不合理的游戏跟爱丽丝的心意，究竟会迈向怎么样的未来？不只是单看小说，也可以享受漫画的乐趣唷～	爱情 奇幻 
1837	幸运女仆天君	以一亿元的价格被富豪「买下来」了的大黑天，而买走他的人竟然是小时候做过结婚约定的伊集院千早大小姐！千早强行要求天穿上女仆服工作，穿上了女仆服的天变身成了楚楚可怜的女孩子！从此天作为女仆而工作，却因为自己的遗传因子被盯上而遭遇了这样那样的大危机！天的命运将会是！？	搞笑 
1838	小魔女与飞天狐	里比脱利亚空军的皇牌机师--克劳斯在某天突然被任命为"解决内战的重要王牌"那种程度的重要人物的助手。然而,等著他的却是年仅16岁的少女阿娜莉莎。听闻她是名门拉姆斯堤家的大小姐，在国家最高学府以11岁的年龄毕业的天才。「战争之类的马上就能把它终结」这样放肆地夸下海口的」小魔女」所带来的各种麻烦下，克劳斯能平安地胜任那大小姐的骑士这职位吗？而且阿娜莉莎真的能使战争终结吗？这是由"麻烦魔女"与"牢骚之狐"所交织而成的现代童话。	
1839	LOVELESS 无爱之战	「我是你的战斗机喔！」——自称是LOVELESS战斗机的青年·濑领行春出现在青柳立夏面前。声音跟过世的哥哥·清明相似、对人又温柔的濑领，让立夏打开了心房。但是，感受到我妻草灯温暖掌心的立夏却感到十分不安。可以放开草灯的手吗？自己到底真的想要强烈联系的对象是谁呢？立夏为之困扰的时候，正是真实的爱与羁绊备受考验之际——！原作未曾描述的情节，现在一一揭露！	
1840	黑色子弹	不久的未来，人类在与病毒性生物「原肠动物」的战争中败北，被驱逐至狭窄的领土，带着恐惧与绝望苟且偷生。在如此封闭幽暗的世界——居住于东京地区的少年莲太郎，为对抗原肠动物的专家「民警」的医院，从事危机的工作。他的搭档则是有点早熟的小女孩——延珠。以特殊能力战斗的两人，某天接获政府的特别命令，内容则是避免东京毁灭的高度任务……以近未来为舞台，充满战栗气息的英雄动作巨作，就此揭幕！	科幻 校园 异能 
1841	白梦	深森荣一，高中二年级。失去了四年以前的记忆，除此之外一切都很平凡，但是现在究竟是个什么情况？「是《逸》！快逃，荣一！」突然出现的怪物，就在我混乱之际，一个少女出现在我面前。「雾散！」用被雾包覆着的太刀将怪物击退了！转学到了全住校制的白云学园的我，遭遇了名为《逸》的怪物的我，遇见了为了保护学园而战斗的「雾使」们。之后我也成为了雾使……雪雾——与异界相连的雾的彼方究竟有什么呢。学园类谜之幻想曲即将开始！	冒险 校园 格斗 奇幻 
1842	变态怪医Dr.伊良部	日本小说大奖直木赏得奖作家奥田英朗洞悉人性的黑色大作！尖端优良出品漫画《变态怪医Dr.伊良部》之小说版，用字更细腻，遣辞更深刻，关注于现代人的一些看似正常却事关重大的隐性精神疾病，不论是游泳成瘾到脑内散发出安多酚的中年编辑泳池中毒事件，或是因情绪过度压抑而导致阴茎僵直症的持续勃起病症，以及现在文明病——不携带手机就会心悸头晕的手机依存症，甚至是幻想自己被跟踪的变害妄想症，和跟尼古拉斯凯奇电影「火柴人」中类似的强迫症，这些自认没病却已病入膏肓的现代人们，都来向看病风格特殊的怪医伊良部问诊，引发一连串令人哭笑不得却又发人省思的事件。黑色幽默的经典作品！精神医学作品中的变色文学！	
1843	神曲奏界 银	新进的音乐家也是神曲乐士的丹·萨里艾尔，其才华在世间受到高度评价，但说到他的个性，只能够这么形容——桀骜不驯、目中无人、唯我独尊。那样的他有一天遇到一柱上级精灵虎子。欣赏这柱精灵的萨里艾尔很罕见地主动提出缔结契约的要求，但当下却遭到拒绝。顽固的萨里艾尔想尽办法就是要跟他缔结契约，但是……除了描写萨里艾尔与虎子、阿玛迪雅邂逅过程的标题作品「丹，萨里艾尔和白银之虎」，本书一共收录了四篇作品。请各位尽情欣赏萨里艾尔的华丽演出吧！	冒险 校园 爱情 奇幻 
1844	尼特族吸血鬼·江藤	我家养了许多动物。它们大都是我宇堂龙之介在不忍心之下捡回家里饲养的。只要每天悉心照顾，往往就会与它们变得十分亲近，因此无论是哪种动物我都觉得可爱。「龙之介～你在哪里～？救命啊，拜托你快点来～」话虽如此，世界上总有例外。但最近家里就是多了一只特别稀有又难以照料的动物。那家伙虽然是个金发美少女，还自称是吸血鬼，但实际上却是个什么事都无法自理的笨小鬼。我们称她为江藤。我和江藤的奇妙暑假就这样揭开序幕了。	
1845	怪盗RED	春假的某一天，两人的父亲告诉飞鸟和圭：「从明天起，你们就是怪盗RED了！」两人的祖先是怪盗家族，一到十三岁就必须成为怪盗！并且，不知不觉中两人已经具备了难以置信的力量……IQ200的天才圭以及运动神经超乎常人的飞鸟，济弱锄强，以新世代怪盗之姿四处奔走！	冒险 
1846	变态学姐和我和她	我有个大我一岁的青梅竹马。她名字叫做凉风圣知。「柊一君，我今天没有穿内裤哦。」「噗！！」「你想怎么做呢？」「……揍你哦，学姐。」有着祖母绿颜色眼睛的梦幻美少女，如各位所见是一个变态，同时也是一名天才。刚刚高中入学她就发表了组建<后宫团>的宣言。知道阻止她她也会说「哼哼，抵抗反而让我更有兴致哦」这种话而燃起嗜虐心的我，暂且决定先陪着她胡闹。可是，为了破坏那种可疑的社团活动，品行端正，声名显赫的完美系女生·水谷诗绪里前来阻碍了！？被卷入天才系变态女主角·圣知学姐的暴走之中的我和她会有怎样的明天！？喧嚣的吵闹可爱系青春浪漫喜剧诞生！	校园 搞笑 爱情 
1847	有看到我家的魔女吗？	「时至今日，魔女已经从地球上灭绝了。」在这个世界，魔女是濒临绝种的物种而必须加以保护。我暪着大家，偷偷地养育幼小的魔女。我和孤独无依的魔女蜜菈，秘密地在同一屋檐下过起同居生活。可是，蜜菈只要一骑到扫帚上，就会把家里弄得乱七八糟，说话只会说零碎的单字和句子，三餐只吃鲷鱼烧……？我原本宁静的生活为之丕变，老是出现翻天覆地的大骚动。然而，我们秘密的同居生活没多久就曝光了。其实我早就心里有数了，蜜菈总有一天非得回去「魔女的乐园」不可，可是……	魔法 搞笑 
1848	护树骑士团传奇	这是一段在地方上流传数千年、难以查证的黑暗历史——掌权者为了追捕具有「某种血统」的孩童，施展了极其残酷的手段。在那场血腥猎捕中，里奇离奇地存活了下来。但九年后，十二岁的他所居住的市镇过袭；在逃亡中，里奇意外启动了唯有贵族血统才得以发动的最强兵器——「守护骑士」，并因此击退了突袭城堡的神秘军团。至此，他被认定为在这场袭击中失踪、从未露面的城堡继承人，卷入危险争斗中。即使百般抗拒，但少年仍被迫面对九年前残暴的猎杀真相与他体内神秘的血统，一步步开启护树骑士团新的传奇……	冒险 奇幻 格斗 异界 
1849	红之三位一体	懦弱少年•若竹有明与青梅竹马的少女•花莲一起入读育成「螺旋师」（Spiral）的学园。螺旋师是驱逐威胁世界的生物兵器——通称「蚀」的特别国家公务员，但有明因为某原因而拒绝成为螺旋师。「那你为什么要来这所学园」被才貌兼备，但不知为何对有明严厉的前辈谴责，有明被志气高远级朋友敬而远之，变得孤立。但是，在某天，有明遇到了。自己的命运——与自己经历一切的伙伴的少女。在崩坏的世界中战斗的少年少女的，梦幻之学园战斗！！	科幻 校园 格斗 
1850	雷恩	存在于异世界的大陆、缪鲁格尼亚。科学文明的魔手还未触及此地。尽管魔法的使用正在一点点的消逝，自远古时期流传下来的知识还在被人们努力的传承着。就是在这样一个，由剑与魔法支配的世界——从波及缪鲁格尼亚全境的大战以来，已经经过了许久的时光。守护着各国间岌岌可危的平衡的和平时代，终于迎来了它的终焉。位于大陆北部的大国札玛英，新国王的登位为它带来了巨大的转变。不满足于现已掌握的小小权利，虎视眈眈的国王企图将整个世界纳入自己的手中。最强之王一声令下，漆黑的军团一齐向着世界伸出了爪牙，战火同时燃及了多个国家。在这之中，蒙受其侵略、并与之交战的国家之一，即是位于大陆西南部的小国桑库瓦鲁。整体国力不及札玛英的十分之一，军队士气亦是萎靡不振。加之现在的国王过于优待贵族，国内已经失去了人心。弱国桑库瓦鲁灭亡的命运，早已是不可避免的了......	魔法 奇幻 战争 异界 
1851	奇异领域的奇异点	奇异领域理论实用化后，国际标准改变了。政治经济的结构为之一变，日本成为了世界的中心。学习世界最尖端奇异领域理论的机关、世界国家第一大学。一名学生，自称天才，无限期停学中的贤悟收到了一条信息。是稀世的天才科学家天川发出的求救信号！天川是提出奇异领域理论的五位天才科学家之一，在很长时间中失去联络。想象其中的含义，贤悟不禁飞奔而出。这便是动摇世界的事件的开始——。新感觉，空想科学冒险谭登场！！	科幻 
1852	妖怪少爷	描绘京都过去篇中大头领滑瓢与璎姬的后续喜事、鸩与黑羽丸遭遇的怪异奇谈……栖身于浮世绘町的妖怪们离奇古怪的日常生活，即将揭晓！『妖怪少爷』小说版浮世绘町绮谭，在此揭开序幕——！	神鬼 校园 冒险 
1853	土属性可不是闹着玩的！	此地为《四方平》。精灵和人类通过灵术共存并形成社会的大都市。某个春季的夜晚，土属性灵术师「植本麒一郎」倒在了城市的角落里。为了实现梦想而擅自决定升学到《四方平》的高中，因此被身无分文地逐出家门。出现在饥肠辘辘的他的面前的，是使用火属性灵术的同级生，名为「雪乃」的美少女。在雪乃的好意邀请下，麒一郎与她一同边做着送报纸的工作边上学，却因为土气而且没有华丽法术的悲哀的土属性，而陷入了留级的危机。既然如此，就只能靠在大型活动「异种精灵障碍乱跑」中取胜来一举扭转局面。而在活动当中，却与至交好友雪乃大打出手，最终被卷入意外的骚动之中……过于土气而从没人想象过的「土属性恋爱喜剧」，堂堂登场！？	爱情 校园 搞笑 魔法 
1854	girls’life!	——舞台位于，某个乡村。有着悠久历史与传统的全体住宿制女子学校，因为没有生源而面临面临废校的危机。并且对于学校「绝对只招女生！」的这个方针，无法坐视母校消失的充满爱校心的毕业生们也群起抗议。因为毕业生们的请求，最终得出了「作为女孩子的话，男孩子也可以入学」这样一个复杂的折中方案。然后，要「作为女孩子」度过校园生活的，是毕业生们的孩子，8名男生。有的人非常高兴，而有的人则顽抗到底。本篇讲述的就是，关于那样的「女装少年」们的，普通却又不平凡的学院生活的故事——。注：本小说为季刊杂志连载，无单行本	
1855	约会大作战	带给世界灾害的「精灵」。解决方法只有消灭或……约会？五河士道在春假结束的隔天——四月十日，被可爱的妹妹吵醒后，前往学校上课。然而，在上课期间却响起了空间震警报，士道为了确保还在街道上妹妹的安全，冲向了危险之中。在一阵突如其来的冲击波之下，街道消失得无影无踪，一名「精灵「少女现身于犹如陨石坑洞般的街道一隅，士道将会遭遇到何种事态？而阻止精灵破坏世界的方法只有两种——歼灭或对话，士道又将会如何选择？	校园 魔法 冒险 
1856	龙与勇者与不可爱的我	虽然拥有着优秀的能力，可是只因为是平民便被周围疏远的宫廷魔法师安玖。为了承受孤独而紧闭心门，变得一点也不可爱的她，却被委派了为拯救世界而打败魔王的重大任务！？而且同行的搭档是虽然生在英雄世家却怕血的骑士雷克斯。这到底是一次荣誉的冒险呢？还是单纯的被人当累赘甩掉了呢？	冒险 魔法 异界 
1857	百鬼夜行	推理和诡异妖怪传说的经典神秘的事物却有合理解释揉合不可思议谜团、妖怪流变、民俗学、中国儒学与欧洲哲学……既诡异又理性，华丽而滔滔不绝辩证，开创推理独特书写新纪元。以阴阳师中禅寺秋彦为主角的「京极堂」系列，开创结合推理和妖怪传说的独特书写新纪元。丰沛的妖怪知识、推理解谜的乐趣、鲜明的人物设定，构成了京极堂系列风靡全日本十数年至今不坠的超凡魅力。与古代阴阳师不同的是，斩妖除魔的京极堂，除的是栖息在现代社会中人心幽暗处的妖魔。且看身兼解谜侦探和除魅阴阳师身分的京极堂，一一揭开妖怪的真面目……妖怪总栖息于人心之中，等待一瞬间的缝隙，破壳而出。京极堂等待着，等待着被妖怪附身的人来到眼前……	神鬼 
1858	骗王	与其默默等待人生终结，我要以谎言来夺取一切！我，将成为王——拥有领袖气质与优秀头脑，广受人民爱戴的罗丹国第二王子斐兹拉尔德，孩提时代，梦想成为驯马师的他，某天，那小小的世界突然崩坏了。亲近之人的死亡，以及照料的仔马成为晚餐被吃下肚，那天夜晚，哭泣着呕出胃酸的斐兹拉尔德，领悟到：即便自己只是个孩子，即便「第二王子」注定无法继承王权，周遭的人仍会将他卷入残酷的权力斗争之中！——善良的个性只会赔上性命。要在这充满政治权谋、丑恶人心的欲望漩涡中生存下去，唯一的希望只有凭借无人能敌的机智谋略及精湛话术蒙骗世人——当上王！	冒险 
1859	STITCH裁缝少女	利用进入上乃原高校就读的机会，茜夕下定决心要进入裁缝社。在这里碰上了身材娇小却毒舌的山吹美晴、外表冷酷却有着妄想症的桔梗葵、迷糊社长浅葱法子、以及同时身兼田径社社员的小麦空。五位少女时而缝缝布偶、时而外出采购，透过多彩多姿的社团活动将闪亮而愉快的日常生活点缀成日记风格的小说。荣获第4回NovelJapan大赏·金赏的校园喜剧作品！	校园 爱情 搞笑 后宫 
